t,h,dx,dy,X,Y,FPS
11.7632,74.00,0.00,0.00,0.00,0.00,42
11.7807,74.00,0.00,0.00,0.00,0.00,43
11.8128,74.00,0.00,0.00,0.00,0.00,42
11.8286,74.00,0.00,0.00,0.00,0.00,44
11.8587,74.00,0.00,0.00,0.00,0.00,43
11.8892,74.00,0.00,0.00,0.00,0.00,42
11.9209,74.00,0.00,0.00,0.00,0.00,41
11.9380,74.00,0.00,0.00,0.00,0.00,42
11.9714,74.00,0.00,0.00,0.00,0.00,41
11.9864,74.00,0.00,0.00,0.00,0.00,44
12.0177,74.00,0.00,0.00,0.00,0.00,42
12.0338,74.00,0.00,0.00,0.00,0.00,44
12.0645,74.00,0.00,0.00,0.00,0.00,43
12.0979,74.00,0.00,0.00,0.00,0.00,42
12.1286,74.00,0.00,0.00,0.00,0.00,41
12.1447,74.00,0.00,0.00,0.00,0.00,43
12.1761,74.00,0.00,0.00,0.00,0.00,42
12.1917,74.00,0.00,0.00,0.00,0.00,44
12.2221,74.00,0.00,0.00,0.00,0.00,43
12.2548,74.00,0.00,0.00,0.00,0.00,41
12.2712,74.00,0.00,0.00,0.00,0.00,43
12.3015,74.00,0.00,0.00,0.00,0.00,42
12.3321,74.00,0.00,0.00,0.00,0.00,41
12.3485,74.00,0.00,0.00,0.00,0.00,43
12.3828,74.00,0.00,0.00,0.00,0.00,42
12.4002,74.00,0.00,0.00,0.00,0.00,43
12.4305,74.00,0.00,0.00,0.00,0.00,42
12.4459,74.00,0.00,0.00,0.00,0.00,44
12.4754,74.00,0.00,0.00,0.00,0.00,43
12.5065,74.00,0.00,0.00,0.00,0.00,42
12.5381,74.00,0.00,0.00,0.00,0.00,41
12.5570,74.00,0.00,0.00,0.00,0.00,42
12.5891,74.00,0.00,0.00,0.00,0.00,41
12.6040,74.00,0.00,0.00,0.00,0.00,44
12.6368,74.00,0.00,0.00,0.00,0.00,42
12.6663,74.00,0.00,0.00,0.00,0.00,41
12.6813,74.00,0.00,0.00,0.00,0.00,44
12.7111,74.00,0.00,0.00,0.00,0.00,43
12.7416,74.00,0.00,0.00,0.00,0.00,42
12.7587,74.00,0.00,0.00,0.00,0.00,43
12.7901,74.00,0.00,0.00,0.00,0.00,42
12.8196,74.00,0.00,0.00,0.00,0.00,41
12.8345,74.00,0.00,0.00,0.00,0.00,44
12.8639,74.00,0.00,0.00,0.00,0.00,43
12.8933,74.00,0.00,0.00,0.00,0.00,42
12.9086,74.00,0.00,0.00,0.00,0.00,44
12.9391,74.00,0.00,0.00,0.00,0.00,43
12.9705,74.00,0.00,0.00,0.00,0.00,42
12.9857,74.00,0.00,0.00,0.00,0.00,44
13.0153,74.00,0.00,0.00,0.00,0.00,43
13.0450,74.00,0.00,0.00,0.00,0.00,42
13.0751,74.00,0.00,0.00,0.00,0.00,41
13.0931,74.00,0.00,0.00,0.00,0.00,43
13.1246,74.00,0.00,0.00,0.00,0.00,41
13.1398,74.00,0.00,0.00,0.00,0.00,44
13.1715,74.00,0.00,0.00,0.00,0.00,43
13.2007,74.00,0.00,0.00,0.00,0.00,42
13.2315,74.00,0.00,0.00,0.00,0.00,41
13.2480,74.00,0.00,0.00,0.00,0.00,43
13.2783,74.00,0.00,0.00,0.00,0.00,42
13.2940,74.00,0.00,0.00,0.00,0.00,44
13.3233,74.00,0.00,0.00,0.00,0.00,43
13.3538,74.00,0.00,0.00,0.00,0.00,42
13.3841,74.00,0.00,0.00,0.00,0.00,41
13.3998,74.00,0.00,0.00,0.00,0.00,43
13.4308,74.00,0.00,0.00,0.00,0.00,42
13.4461,74.00,0.00,0.00,0.00,0.00,44
13.4759,74.00,0.00,0.00,0.00,0.00,43
13.5057,74.00,0.00,0.00,0.00,0.00,42
13.5380,74.00,0.00,0.00,0.00,0.00,41
13.5532,74.00,0.00,0.00,0.00,0.00,43
