t,h,dx,dy,X,Y,FPS
6.8025,77.00,0.00,0.00,0.00,0.00,53
6.8349,77.00,0.00,0.00,0.00,0.00,52
6.8621,77.00,0.00,0.00,0.00,0.00,52
6.8800,77.00,0.00,0.00,0.00,0.00,52
6.8939,77.00,0.00,0.00,0.00,0.00,52
6.9129,77.00,0.00,0.00,0.00,0.00,52
6.9470,77.00,0.00,0.00,0.00,0.00,52
6.9766,77.00,0.00,0.00,0.00,0.00,52
6.9898,77.00,0.00,0.00,0.00,0.00,52
7.0088,77.00,0.00,0.00,0.00,0.00,52
7.0229,77.00,0.00,0.00,0.00,0.00,52
7.0487,77.00,0.00,0.00,0.00,0.00,52
7.0835,77.00,0.00,0.00,0.00,0.00,52
7.0956,77.00,0.00,0.00,0.00,0.00,52
7.1087,77.00,0.00,0.00,0.00,0.00,53
7.1319,77.00,0.00,0.00,0.00,0.00,53
7.1541,77.00,0.00,0.00,0.00,0.00,52
7.1884,77.00,0.00,0.00,0.00,0.00,52
7.2033,77.00,0.00,0.00,0.00,0.00,52
7.2178,77.00,0.00,0.00,0.00,0.00,53
7.2324,77.00,0.00,0.00,0.00,0.00,53
7.2648,77.00,0.00,0.00,0.00,0.00,52
7.2938,77.00,0.00,0.00,0.00,0.00,52
7.3087,77.00,0.00,0.00,0.00,0.00,52
7.3283,77.00,0.00,0.00,0.00,0.00,52
7.3489,77.00,0.00,0.00,0.00,0.00,52
7.3753,77.00,0.00,0.00,0.00,0.00,52
7.4055,77.00,0.00,0.00,0.00,0.00,52
7.4210,77.00,0.00,0.00,0.00,0.00,52
7.4352,77.00,0.00,0.00,0.00,0.00,52
7.4530,77.00,0.00,0.00,0.00,0.00,52
7.4814,77.00,0.00,0.00,0.00,0.00,52
7.5138,77.00,0.00,0.00,0.00,0.00,52
7.5265,77.00,0.00,0.00,0.00,0.00,52
7.5459,77.00,0.00,0.00,0.00,0.00,52
7.5556,77.00,0.00,0.00,0.00,0.00,53
7.5905,77.00,0.00,0.00,0.00,0.00,52
7.6198,77.00,0.00,0.00,0.00,0.00,52
7.6341,77.00,0.00,0.00,0.00,0.00,52
7.6494,77.00,0.00,0.00,0.00,0.00,53
7.6654,77.00,0.00,0.00,0.00,0.00,53
7.6952,77.00,0.00,0.00,0.00,0.00,52
7.7251,77.00,0.00,0.00,0.00,0.00,52
7.7425,77.00,0.00,0.00,0.00,0.00,52
7.7584,77.00,0.00,0.00,0.00,0.00,52
7.7715,77.00,0.00,0.00,0.00,0.00,53
7.8070,77.00,0.00,0.00,0.00,0.00,52
7.8363,77.00,0.00,0.00,0.00,0.00,52
7.8486,77.00,0.00,0.00,0.00,0.00,52
7.8625,77.00,0.00,0.00,0.00,0.00,53
7.8788,77.00,0.00,0.00,0.00,0.00,53
7.9122,77.00,0.00,0.00,0.00,0.00,53
7.9427,77.00,0.00,0.00,0.00,0.00,52
7.9585,77.00,0.00,0.00,0.00,0.00,52
7.9701,77.00,0.00,0.00,0.00,0.00,53
7.9858,77.00,0.00,0.00,0.00,0.00,53
8.0226,77.00,0.00,0.00,0.00,0.00,53
8.0498,77.00,0.00,0.00,0.00,0.00,52
8.0647,77.00,0.00,0.00,0.00,0.00,53
8.0808,77.00,0.00,0.00,0.00,0.00,53
8.1133,77.00,0.00,0.00,0.00,0.00,52
8.1252,77.00,0.00,0.00,0.00,0.00,53
8.1552,77.00,0.00,0.00,0.00,0.00,53
8.1729,77.00,0.00,0.00,0.00,0.00,53
8.1879,77.00,0.00,0.00,0.00,0.00,53
8.2291,77.00,0.00,0.00,0.00,0.00,52
8.2382,77.00,0.00,0.00,0.00,0.00,53
8.2657,77.00,0.00,0.00,0.00,0.00,53
8.2782,77.00,0.00,0.00,0.00,0.00,53
8.2978,77.00,0.00,0.00,0.00,0.00,53
8.3262,77.00,0.00,0.00,0.00,0.00,53
8.3408,77.00,0.00,0.00,0.00,0.00,53
8.3715,77.00,0.00,0.00,0.00,0.00,53
8.3865,77.00,0.00,0.00,0.00,0.00,53
8.4032,77.00,0.00,0.00,0.00,0.00,53
8.4324,77.00,0.00,0.00,0.00,0.00,53
8.4500,77.00,0.00,0.00,0.00,0.00,53
8.4827,77.00,0.00,0.00,0.00,0.00,53
8.4948,77.00,0.00,0.00,0.00,0.00,53
8.5111,77.00,0.00,0.00,0.00,0.00,53
8.5432,77.00,0.00,0.00,0.00,0.00,53
8.5609,77.00,0.00,0.00,0.00,0.00,53
8.5861,77.00,0.00,0.00,0.00,0.00,53
8.6014,77.00,0.00,0.00,0.00,0.00,53
8.6183,77.00,0.00,0.00,0.00,0.00,53
8.6528,77.00,0.00,0.00,0.00,0.00,53
8.6668,77.00,0.00,0.00,0.00,0.00,53
8.6936,77.00,0.00,0.00,0.00,0.00,53
8.7085,77.00,0.00,0.00,0.00,0.00,53
8.7261,77.00,0.00,0.00,0.00,0.00,53
8.7560,77.00,0.00,0.00,0.00,0.00,53
8.7851,77.00,0.00,0.00,0.00,0.00,52
8.7991,77.00,0.00,0.00,0.00,0.00,53
8.8208,77.00,0.00,0.00,0.00,0.00,53
8.8486,77.00,0.00,0.00,0.00,0.00,52
8.8784,77.00,0.00,0.00,0.00,0.00,52
8.8939,77.00,0.00,0.00,0.00,0.00,52
8.9104,77.00,0.00,0.00,0.00,0.00,52
8.9284,77.00,0.00,0.00,0.00,0.00,52
8.9579,77.00,0.00,0.00,0.00,0.00,52
8.9851,77.00,0.00,0.00,0.00,0.00,52
9.0027,77.00,0.00,0.00,0.00,0.00,52
9.0182,77.00,0.00,0.00,0.00,0.00,52
9.0490,77.00,0.00,0.00,0.00,0.00,52
9.0641,77.00,0.00,0.00,0.00,0.00,52
